,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Feb-2018,1334.7,1331.5,1333.0,718.2,718.3,720.8,616.4,613.2,612.1,893.8,896.7,905.8,585.5,586.5,592.8,308.3,310.2,313.1,427.1,128.0,299.1,64.2,64.1,64.1,69.6,69.6,69.9,58.9,58.6,58.5,87.0,87.3,95.6,47.5,47.3,51.1,39.6,40.0,44.5,72.8,40.9,31.8,22.8,10.2,12.7,6.1,6.2,6.7,6.2,6.2,6.6,6.0,6.1,6.8,7.4,6.5,9.2,5.1,7.4,4.1,1421.7,1418.8,1428.6,765.7,765.6,771.9,656.0,653.2,656.7,68.4,68.3,68.7,74.2,74.2,74.8,62.7,62.4,62.8,649.7,260.0,389.7,2078.3,1031.9,1046.3
Mar-2018,1336.0,1331.6,1332.2,718.8,717.3,718.1,617.2,614.3,614.1,894.0,887.2,881.3,587.0,583.5,581.6,306.9,303.7,299.7,450.9,136.5,314.3,64.2,64.0,64.0,69.6,69.5,69.5,58.9,58.6,58.6,88.2,100.4,107.5,48.9,55.7,59.7,39.3,44.6,47.7,75.8,46.4,29.3,31.7,13.3,18.4,6.2,7.0,7.5,6.4,7.2,7.7,6.0,6.8,7.2,7.9,7.4,8.9,6.6,8.9,5.5,1424.2,1431.9,1439.6,767.7,773.0,777.8,656.5,658.9,661.8,68.5,68.8,69.2,74.4,74.8,75.3,62.7,62.9,63.2,640.6,255.0,385.6,2080.3,1032.8,1047.4
Apr-2018,1337.0,1339.6,1341.9,719.7,720.1,722.7,617.4,619.5,619.2,895.8,889.4,885.6,589.3,591.6,590.1,306.5,297.7,295.4,456.3,132.6,323.7,64.2,64.4,64.5,69.7,69.7,70.0,58.9,59.1,59.1,88.8,91.7,93.3,50.0,50.1,50.5,38.8,41.6,42.8,64.9,41.0,23.9,28.5,9.5,18.9,6.2,6.4,6.5,6.5,6.5,6.5,5.9,6.3,6.5,6.8,6.5,7.5,5.9,6.7,5.5,1425.9,1431.3,1435.3,769.7,770.2,773.3,656.2,661.1,662.0,68.5,68.8,69.0,74.5,74.6,74.9,62.6,63.1,63.2,646.0,259.8,386.2,2081.3,1033.1,1048.2
May-2018,1338.0,1340.2,1348.8,720.8,723.9,728.8,617.2,616.3,619.9,899.5,907.6,907.6,591.9,598.8,600.1,307.6,308.8,307.5,441.1,128.7,312.4,64.3,64.4,64.8,69.7,70.1,70.5,58.8,58.8,59.1,88.8,89.5,86.1,50.5,52.6,49.4,38.3,36.9,36.7,58.3,38.9,19.4,27.8,10.5,17.3,6.2,6.3,6.0,6.5,6.8,6.3,5.8,5.6,5.6,6.0,6.1,5.9,5.9,7.5,5.3,1426.8,1429.7,1434.8,771.3,776.5,778.2,655.5,653.2,656.6,68.5,68.7,68.9,74.6,75.1,75.3,62.5,62.3,62.6,647.5,255.1,392.3,2082.3,1033.4,1048.9
Jun-2018,1339.3,1341.9,1344.4,722.3,720.7,721.6,617.0,621.1,622.8,905.1,900.2,898.4,594.7,590.2,589.6,310.4,310.0,308.8,446.0,132.0,314.0,64.3,64.4,64.5,69.9,69.7,69.8,58.8,59.2,59.3,88.2,86.4,81.3,50.2,50.0,47.8,38.0,36.4,33.6,59.3,37.0,22.3,22.0,10.7,11.3,6.2,6.1,5.7,6.5,6.5,6.2,5.8,5.5,5.1,6.2,5.9,6.7,4.7,7.5,3.5,1427.5,1428.3,1425.7,772.5,770.7,769.4,655.0,657.6,656.4,68.5,68.6,68.4,74.7,74.6,74.4,62.4,62.6,62.5,657.6,264.3,393.3,2083.3,1033.6,1049.7
Jul-2018,1340.8,1336.9,1338.2,724.2,723.2,723.9,616.7,613.7,614.3,911.6,912.3,914.0,597.6,600.3,600.4,314.0,312.1,313.6,424.2,123.5,300.7,64.3,64.1,64.2,70.0,69.9,70.0,58.7,58.4,58.5,87.6,85.1,83.2,49.5,49.3,50.7,38.1,35.8,32.5,65.1,43.2,21.9,18.1,7.5,10.6,6.1,6.0,5.9,6.4,6.4,6.5,5.8,5.5,5.0,6.7,6.7,6.5,4.1,5.7,3.4,1428.5,1422.0,1421.4,773.7,772.6,774.6,654.8,649.4,646.8,68.5,68.2,68.2,74.8,74.7,74.9,62.3,61.8,61.6,663.9,259.8,404.0,2085.3,1034.5,1050.8
Aug-2018,1341.9,1338.0,1333.2,725.9,722.9,719.8,615.9,615.1,613.4,917.9,915.9,906.4,600.4,597.7,590.7,317.6,318.2,315.7,426.8,129.1,297.8,64.3,64.1,63.9,70.1,69.8,69.5,58.6,58.5,58.3,87.7,90.4,90.5,49.1,49.2,48.9,38.6,41.1,41.5,68.7,41.2,27.5,21.8,7.7,14.0,6.1,6.3,6.4,6.3,6.4,6.4,5.9,6.3,6.3,7.0,6.5,8.0,4.9,5.7,4.5,1429.6,1428.4,1423.7,775.0,772.1,768.7,654.6,656.2,654.9,68.5,68.4,68.2,74.9,74.6,74.3,62.2,62.4,62.3,663.6,266.6,397.0,2087.3,1035.3,1052.0
Sep-2018,1342.2,1344.9,1340.4,727.4,729.2,725.9,614.8,615.8,614.4,922.7,923.4,917.9,602.7,601.4,597.4,320.0,321.9,320.6,422.4,128.5,293.9,64.3,64.4,64.2,70.2,70.4,70.1,58.4,58.5,58.3,88.5,86.8,85.1,49.2,46.5,45.8,39.3,40.3,39.3,61.1,38.1,23.0,24.1,7.7,16.4,6.2,6.1,6.0,6.3,6.0,5.9,6.0,6.1,6.0,6.2,6.0,6.7,5.4,5.7,5.3,1430.8,1431.7,1425.5,776.6,775.6,771.7,654.1,656.1,653.8,68.5,68.5,68.2,75.0,74.9,74.5,62.1,62.3,62.1,663.8,264.4,399.3,2089.3,1036.1,1053.1
Oct-2018,1341.9,1345.6,1346.7,728.2,732.2,733.8,613.8,613.4,612.9,925.2,932.7,934.1,604.3,608.3,609.5,320.9,324.4,324.6,412.7,124.3,288.3,64.2,64.4,64.4,70.2,70.6,70.8,58.2,58.2,58.2,89.6,80.8,77.6,49.8,42.7,41.4,39.8,38.1,36.1,53.0,35.1,17.9,24.5,6.3,18.2,6.3,5.7,5.4,6.4,5.5,5.3,6.1,5.8,5.6,5.4,5.4,5.2,5.6,4.8,5.9,1431.6,1426.5,1424.3,778.0,775.0,775.2,653.6,651.5,649.0,68.5,68.2,68.1,75.1,74.7,74.8,62.0,61.8,61.6,666.4,261.5,404.9,2090.7,1036.7,1054.0
Nov-2018,1341.2,1346.1,1351.8,728.0,729.7,730.4,613.2,616.4,621.4,925.7,936.1,942.2,605.1,614.1,616.5,320.6,322.0,325.8,409.5,113.9,295.6,64.1,64.3,64.6,70.2,70.3,70.4,58.1,58.4,58.9,90.4,93.0,87.7,50.5,51.2,47.5,39.9,41.9,40.1,64.1,39.4,24.7,23.6,8.1,15.4,6.3,6.5,6.1,6.5,6.6,6.1,6.1,6.4,6.1,6.4,6.0,7.0,5.4,6.7,5.0,1431.6,1439.2,1439.4,778.6,780.9,778.0,653.1,658.3,661.5,68.4,68.8,68.8,75.0,75.3,75.0,61.9,62.4,62.7,652.7,259.4,393.3,2092.1,1037.3,1054.8
Dec-2018,1340.4,1335.1,1347.2,727.0,723.4,729.0,613.3,611.7,618.2,925.0,920.4,933.3,604.8,604.8,611.5,320.2,315.6,321.8,413.8,117.5,296.3,64.0,63.8,64.3,70.0,69.7,70.2,58.1,57.9,58.6,90.5,92.2,90.2,51.1,53.6,51.3,39.4,38.7,38.9,64.0,38.9,25.0,26.3,12.4,13.9,6.3,6.5,6.3,6.6,6.9,6.6,6.0,5.9,5.9,6.4,6.0,7.2,6.0,9.5,4.5,1430.9,1427.3,1437.4,778.2,776.9,780.3,652.8,650.4,657.1,68.3,68.2,68.7,74.9,74.9,75.2,61.8,61.6,62.2,656.2,257.6,398.6,2093.6,1037.9,1055.6
Jan-2019,1340.0,1336.8,1322.6,725.8,726.9,720.8,614.1,609.9,601.8,923.9,923.1,923.6,603.9,603.9,604.6,320.0,319.2,319.1,398.9,116.2,282.7,63.9,63.8,63.1,69.8,69.9,69.4,58.1,57.7,56.9,90.1,97.5,105.9,51.2,52.6,57.3,38.9,44.9,48.6,76.0,46.2,29.8,30.0,11.2,18.8,6.3,6.8,7.4,6.6,6.7,7.4,6.0,6.9,7.5,7.6,7.1,8.5,7.0,8.8,6.2,1430.0,1434.3,1428.5,777.0,779.5,778.1,653.0,654.8,650.4,68.2,68.4,68.1,74.8,75.0,74.9,61.8,61.9,61.5,667.9,261.1,406.8,2096.3,1039.2,1057.1
Feb-2019,1340.8,1340.1,1340.3,725.0,724.0,725.4,615.8,616.1,614.9,923.6,918.2,927.2,603.1,601.2,607.3,320.6,317.0,319.9,413.1,118.0,295.0,63.9,63.8,63.9,69.7,69.6,69.7,58.2,58.2,58.1,89.1,85.6,92.6,50.7,47.6,51.2,38.3,38.0,41.4,71.7,43.8,27.9,20.9,7.3,13.5,6.2,6.0,6.5,6.5,6.2,6.6,5.9,5.8,6.3,7.2,6.7,8.0,4.8,5.9,4.4,1429.9,1425.7,1432.8,775.8,771.6,776.6,654.1,654.1,656.3,68.1,67.9,68.3,74.6,74.2,74.6,61.8,61.8,62.0,666.3,263.9,402.3,2099.1,1040.5,1058.6
Mar-2019,1343.3,1341.3,1341.0,725.2,720.4,720.1,618.2,620.9,620.9,924.2,925.1,918.4,602.6,593.2,591.1,321.6,331.9,327.3,422.6,129.0,293.6,63.9,63.8,63.8,69.6,69.2,69.1,58.3,58.6,58.6,87.8,86.9,92.9,50.0,50.0,53.8,37.8,36.9,39.1,65.2,41.9,23.3,27.7,11.9,15.8,6.1,6.1,6.5,6.4,6.5,7.0,5.8,5.6,5.9,6.6,6.6,6.6,6.1,8.4,5.1,1431.1,1428.1,1433.8,775.1,770.4,773.9,656.0,657.8,659.9,68.1,67.9,68.2,74.4,74.0,74.3,61.9,62.0,62.2,668.0,267.8,400.2,2101.9,1041.7,1060.1
Apr-2019,1347.1,1349.4,1351.9,726.1,726.7,729.3,621.0,622.6,622.6,925.3,934.3,931.0,602.9,603.8,603.1,322.4,330.5,327.9,420.9,126.3,294.6,64.0,64.1,64.3,69.7,69.7,70.0,58.5,58.7,58.7,86.3,86.8,87.8,49.2,49.0,49.4,37.2,37.8,38.4,63.3,38.6,24.7,24.5,10.8,13.7,6.0,6.0,6.1,6.3,6.3,6.3,5.7,5.7,5.8,6.4,6.0,7.0,5.5,7.9,4.4,1433.4,1436.1,1439.7,775.3,775.7,778.7,658.2,660.4,661.0,68.1,68.3,68.4,74.4,74.4,74.7,62.0,62.2,62.3,663.9,263.7,400.2,2103.6,1042.4,1061.2
May-2019,1351.0,1348.3,1356.0,727.4,728.9,733.1,623.7,619.4,622.9,926.0,925.7,926.1,603.6,601.2,602.7,322.4,324.5,323.4,429.9,130.4,299.5,64.2,64.0,64.4,69.7,69.9,70.3,58.7,58.3,58.6,85.1,88.9,85.6,48.5,50.3,47.3,36.6,38.6,38.4,59.3,38.6,20.8,26.3,8.7,17.6,5.9,6.2,5.9,6.2,6.5,6.1,5.5,5.9,5.8,6.0,6.0,6.0,5.8,6.3,5.5,1436.1,1437.2,1441.6,775.8,779.2,780.4,660.3,658.0,661.3,68.2,68.3,68.5,74.4,74.7,74.8,62.2,61.9,62.2,663.8,262.7,401.1,2105.4,1043.1,1062.3
Jun-2019,1354.6,1365.6,1368.0,728.6,738.1,739.2,626.0,627.5,628.8,925.9,925.6,923.4,604.2,606.7,605.6,321.7,319.0,317.7,444.6,133.5,311.1,64.3,64.8,64.9,69.8,70.7,70.8,58.8,59.0,59.1,84.1,80.7,76.1,48.0,45.9,43.9,36.1,34.8,32.2,57.3,35.8,21.6,18.8,8.1,10.7,5.8,5.6,5.3,6.2,5.9,5.6,5.5,5.3,4.9,5.8,5.6,6.4,4.1,5.7,3.3,1438.7,1446.3,1444.1,776.6,784.0,783.1,662.2,662.2,661.0,68.2,68.6,68.5,74.4,75.1,75.0,62.2,62.3,62.2,663.2,260.7,402.4,2107.2,1043.8,1063.4
Jul-2019,1357.2,1358.3,1360.2,729.7,728.1,730.0,627.5,630.2,630.3,925.2,925.8,927.7,604.2,604.2,604.5,321.0,321.5,323.2,432.6,125.5,307.1,64.3,64.4,64.4,69.8,69.7,69.8,58.9,59.2,59.2,83.2,83.4,81.5,47.5,48.6,49.7,35.7,34.8,31.8,61.3,40.7,20.5,20.3,9.0,11.3,5.8,5.8,5.7,6.1,6.3,6.4,5.4,5.2,4.8,6.2,6.3,6.0,4.5,6.7,3.6,1440.4,1441.7,1441.8,777.2,776.7,779.7,663.2,665.0,662.1,68.2,68.3,68.3,74.3,74.3,74.6,62.3,62.4,62.2,668.8,265.6,403.2,2110.6,1045.3,1065.3
Aug-2019,1358.9,1359.7,1356.6,730.6,733.4,731.5,628.4,626.3,625.0,924.2,917.6,908.1,603.5,604.6,597.6,320.6,312.9,310.5,448.5,133.9,314.5,64.3,64.3,64.2,69.8,70.1,69.9,58.9,58.7,58.6,82.6,82.1,82.8,47.1,46.6,46.4,35.5,35.6,36.5,59.0,37.6,21.4,23.9,8.8,15.1,5.7,5.7,5.8,6.1,6.0,6.0,5.3,5.4,5.5,6.1,5.9,6.4,5.1,6.2,4.6,1441.5,1441.9,1439.4,777.6,780.0,777.9,663.8,661.9,661.5,68.2,68.2,68.1,74.3,74.5,74.3,62.2,62.0,62.0,674.5,268.8,405.6,2113.9,1046.7,1067.1
Sep-2019,1360.1,1358.7,1354.0,731.2,727.2,723.7,628.9,631.5,630.3,923.1,922.3,915.9,602.2,602.6,597.8,320.9,319.7,318.1,438.1,125.9,312.2,64.3,64.2,64.0,69.8,69.4,69.0,58.8,59.1,59.0,82.0,82.4,81.0,46.6,46.9,46.3,35.4,35.5,34.7,55.0,34.7,20.3,26.0,11.6,14.4,5.7,5.7,5.6,6.0,6.1,6.0,5.3,5.3,5.2,5.7,5.5,6.0,5.6,8.4,4.4,1442.2,1441.1,1434.9,777.8,774.1,770.0,664.3,667.0,664.9,68.1,68.1,67.8,74.2,73.9,73.5,62.2,62.4,62.2,682.2,278.2,404.1,2117.2,1048.2,1069.0
Oct-2019,1361.4,1361.8,1363.4,732.0,733.5,735.8,629.4,628.3,627.6,922.6,924.0,925.1,600.8,600.4,601.8,321.8,323.7,323.3,438.3,134.0,304.2,64.2,64.2,64.3,69.7,69.9,70.1,58.8,58.7,58.6,81.6,82.0,78.6,46.2,45.0,43.4,35.5,37.0,35.2,46.7,29.7,17.1,31.8,13.7,18.2,5.7,5.7,5.5,5.9,5.8,5.6,5.3,5.6,5.3,4.8,4.7,5.0,6.8,9.3,5.6,1443.1,1443.8,1442.0,778.2,778.5,779.2,664.9,665.3,662.8,68.1,68.1,68.0,74.1,74.2,74.2,62.1,62.1,61.9,678.5,270.4,408.0,2120.4,1049.6,1070.8
Nov-2019,1363.2,1364.1,1370.6,733.3,734.7,735.8,629.9,629.4,634.9,922.6,924.6,931.5,599.8,599.2,601.8,322.8,325.4,329.7,439.2,134.0,305.1,64.2,64.2,64.5,69.8,69.9,70.0,58.7,58.7,59.2,81.2,83.0,78.7,45.5,47.7,44.5,35.7,35.3,34.2,54.4,34.3,20.1,24.3,10.2,14.1,5.6,5.7,5.4,5.8,6.1,5.7,5.4,5.3,5.1,5.5,5.4,5.7,5.2,7.1,4.4,1444.4,1447.0,1449.3,778.8,782.4,780.3,665.7,664.6,669.1,68.0,68.1,68.2,74.1,74.4,74.2,62.1,62.0,62.4,674.3,270.7,403.6,2123.7,1051.0,1072.6
Dec-2019,1365.7,1359.3,1371.6,735.0,733.0,738.7,630.8,626.3,632.9,923.0,919.4,932.7,599.6,597.7,604.5,323.4,321.7,328.2,438.9,134.3,304.7,64.2,63.9,64.5,69.8,69.6,70.2,58.7,58.3,58.9,80.8,78.6,76.4,44.6,43.4,41.4,36.2,35.1,35.0,53.1,32.3,20.8,23.4,9.1,14.2,5.6,5.5,5.3,5.7,5.6,5.3,5.4,5.3,5.2,5.4,5.1,5.9,5.1,6.4,4.5,1446.5,1437.9,1448.0,779.6,776.4,780.2,666.9,661.5,667.9,68.0,67.6,68.1,74.1,73.8,74.1,62.0,61.6,62.2,678.9,272.3,406.6,2126.9,1052.4,1074.5
Jan-2020,1368.6,1371.4,1355.9,736.8,734.6,727.5,631.8,636.8,628.4,923.6,920.7,920.6,600.4,600.4,600.8,323.2,320.4,319.8,435.3,126.7,308.6,64.2,64.4,63.6,69.9,69.7,69.0,58.7,59.1,58.4,80.7,84.7,92.2,43.7,46.9,51.4,37.0,37.8,40.8,67.8,43.4,24.5,24.3,8.0,16.3,5.6,5.8,6.4,5.6,6.0,6.6,5.5,5.6,6.1,6.9,6.7,7.1,5.3,6.0,5.0,1449.4,1456.1,1448.1,780.5,781.5,778.9,668.8,674.5,669.1,68.0,68.3,67.9,74.0,74.1,73.9,62.1,62.6,62.1,683.0,275.4,407.6,2131.1,1054.3,1076.8
Feb-2020,1371.5,1385.1,1384.5,738.7,745.2,745.8,632.8,639.8,638.6,923.8,927.2,936.0,601.6,601.4,607.5,322.2,325.7,328.5,448.5,138.4,310.1,64.2,64.9,64.8,70.0,70.6,70.6,58.7,59.3,59.2,81.5,76.3,82.0,43.1,41.5,44.5,38.4,34.8,37.5,58.7,36.8,21.9,23.2,7.7,15.6,5.6,5.2,5.6,5.5,5.3,5.6,5.7,5.2,5.5,5.9,5.7,6.3,4.9,5.2,4.8,1453.0,1461.4,1466.4,781.8,786.8,790.3,671.2,674.6,676.1,68.1,68.4,68.7,74.0,74.5,74.8,62.2,62.5,62.7,668.9,265.9,402.9,2135.3,1056.2,1079.1
Mar-2020,1374.5,1376.1,1374.7,740.7,743.7,742.2,633.8,632.4,632.5,923.3,927.1,920.2,602.7,604.3,602.1,320.6,322.8,318.2,454.4,140.1,314.3,64.3,64.3,64.3,70.1,70.3,70.1,58.7,58.5,58.5,83.1,81.1,86.5,42.8,40.7,44.0,40.3,40.5,42.5,61.1,34.5,26.7,25.4,9.5,15.9,5.7,5.6,5.9,5.5,5.2,5.6,6.0,6.0,6.3,6.2,5.4,7.7,5.3,6.4,4.8,1457.7,1457.2,1461.2,783.5,784.3,786.2,674.1,672.9,675.0,68.2,68.1,68.3,74.1,74.1,74.3,62.4,62.2,62.4,678.3,271.9,406.4,2139.5,1058.1,1081.4
Apr-2020,1299.1,1311.1,1313.3,697.6,710.2,712.3,601.4,600.9,601.1,903.3,902.7,899.3,584.5,586.5,585.6,318.8,316.2,313.6,414.1,126.6,287.4,60.7,61.3,61.4,65.9,67.1,67.3,55.6,55.5,55.6,85.2,85.4,85.9,42.9,43.5,44.0,42.3,41.9,41.9,68.0,37.0,30.9,18.0,6.9,11.0,6.2,6.1,6.1,5.8,5.8,5.8,6.6,6.5,6.5,7.0,5.9,9.0,4.2,5.2,3.7,1384.2,1396.5,1399.3,740.5,753.7,756.2,643.7,642.8,643.0,64.7,65.2,65.4,70.0,71.2,71.4,59.5,59.4,59.4,741.2,302.4,438.9,2140.5,1058.6,1081.9
May-2020,1303.8,1282.5,1289.2,699.7,697.5,701.1,604.0,584.9,588.1,901.7,901.3,901.9,585.1,585.7,587.2,316.6,315.6,314.7,387.3,113.9,273.3,60.9,59.9,60.2,66.1,65.9,66.2,55.8,54.0,54.3,102.4,112.0,108.2,58.5,58.7,55.3,43.9,53.3,53.0,75.1,44.4,30.7,33.2,10.9,22.3,7.3,8.0,7.7,7.7,7.8,7.3,6.8,8.3,8.3,7.7,7.0,8.9,7.9,8.7,7.6,1406.2,1394.5,1397.4,758.2,756.3,756.4,648.0,638.2,641.0,65.7,65.1,65.3,71.6,71.4,71.4,59.9,59.0,59.2,744.1,302.7,441.4,2141.5,1059.1,1082.4
Jun-2020,1310.1,1304.9,1307.2,701.7,700.0,701.4,608.4,604.8,605.8,900.1,888.1,885.8,586.1,574.9,573.9,314.0,313.3,311.9,421.4,127.5,293.9,61.1,60.9,61.0,66.2,66.1,66.2,56.2,55.8,55.9,103.3,119.4,113.3,58.4,64.0,61.4,44.9,55.4,51.9,80.0,49.5,30.5,33.3,11.9,21.5,7.3,8.4,8.0,7.7,8.4,8.1,6.9,8.4,7.9,8.3,7.9,8.9,7.3,8.5,6.8,1413.3,1424.3,1420.6,760.1,764.1,762.8,653.3,660.2,657.7,66.0,66.5,66.3,71.7,72.1,72.0,60.3,61.0,60.7,721.9,296.7,425.2,2142.5,1059.6,1082.9
Jul-2020,1318.2,1319.5,1321.8,703.6,706.5,709.1,614.6,613.1,612.7,899.6,897.0,898.9,588.2,582.6,582.7,311.3,314.4,316.2,422.9,126.4,296.5,61.5,61.6,61.7,66.4,66.7,66.9,56.7,56.6,56.5,102.7,117.0,114.2,57.6,59.2,60.2,45.2,57.8,54.0,78.6,47.6,31.1,35.6,12.7,22.9,7.2,8.1,8.0,7.6,7.7,7.8,6.9,8.6,8.1,8.0,7.5,8.9,7.8,9.1,7.2,1420.9,1436.5,1436.1,761.2,765.7,769.4,659.8,670.8,666.7,66.3,67.0,67.0,71.8,72.2,72.6,60.9,61.9,61.5,707.3,290.5,416.8,2143.4,1059.9,1083.5
Aug-2020,1346.5,1348.9,1347.2,724.5,726.3,725.5,622.1,622.6,621.7,901.1,901.9,893.0,591.8,590.2,583.7,309.3,311.7,309.3,454.2,141.8,312.4,62.8,62.9,62.8,68.3,68.5,68.4,57.4,57.4,57.3,101.1,98.2,99.5,56.2,52.6,52.4,44.9,45.7,47.1,72.0,44.7,27.3,27.5,7.7,19.7,7.0,6.8,6.9,7.2,6.7,6.7,6.7,6.8,7.0,7.5,7.1,8.1,5.7,5.2,5.9,1447.6,1447.2,1446.7,780.6,778.9,778.0,667.0,668.3,668.8,67.5,67.5,67.5,73.6,73.5,73.4,61.5,61.6,61.7,697.6,282.3,415.3,2144.3,1060.3,1084.1
Sep-2020,1355.5,1354.4,1349.9,726.1,724.4,721.0,629.4,630.0,628.9,904.8,899.9,893.2,596.3,595.7,590.6,308.4,304.2,302.6,456.7,130.4,326.3,63.2,63.1,62.9,68.5,68.3,68.0,58.0,58.1,58.0,98.8,96.9,95.3,54.5,54.9,54.2,44.3,42.1,41.1,65.6,40.0,25.6,29.7,14.2,15.5,6.8,6.7,6.6,7.0,7.0,7.0,6.6,6.3,6.1,6.8,6.3,7.8,6.1,9.8,4.5,1454.3,1451.3,1445.2,780.6,779.3,775.1,673.7,672.1,670.1,67.8,67.7,67.4,73.6,73.5,73.1,62.1,62.0,61.8,700.0,285.5,414.5,2145.2,1060.6,1084.6
Oct-2020,1363.0,1366.2,1367.7,727.4,727.4,729.9,635.6,638.8,637.8,909.8,908.1,908.5,601.3,603.2,604.2,308.5,305.0,304.2,459.2,125.6,333.6,63.5,63.7,63.7,68.6,68.6,68.8,58.6,58.9,58.8,96.5,96.5,92.6,53.1,53.8,51.5,43.4,42.8,41.1,66.3,40.9,25.3,26.3,10.6,15.8,6.6,6.6,6.3,6.8,6.9,6.6,6.4,6.3,6.1,6.8,6.3,7.7,5.4,7.8,4.5,1459.4,1462.8,1460.3,780.4,781.2,781.3,679.0,681.5,678.9,68.0,68.2,68.0,73.6,73.6,73.6,62.6,62.8,62.6,686.0,279.7,406.3,2146.3,1061.0,1085.3
Nov-2020,1368.5,1378.6,1385.5,728.5,738.0,739.0,640.0,640.5,646.4,915.3,918.3,925.3,606.0,608.7,611.1,309.4,309.7,314.2,460.2,128.0,332.2,63.7,64.2,64.5,68.6,69.5,69.6,58.9,59.0,59.5,94.4,95.2,90.6,52.3,48.7,45.6,42.2,46.5,45.0,63.3,37.0,26.4,27.3,8.6,18.7,6.5,6.5,6.1,6.7,6.2,5.8,6.2,6.8,6.5,6.4,5.7,7.7,5.6,6.3,5.3,1463.0,1473.8,1476.1,780.8,786.7,784.6,682.2,687.1,691.5,68.1,68.6,68.7,73.6,74.1,73.9,62.8,63.3,63.7,671.3,276.8,394.4,2147.4,1061.5,1085.9
Dec-2020,1372.6,1376.9,1389.5,730.0,731.5,737.5,642.6,645.4,652.0,920.0,922.0,935.4,609.6,608.3,615.5,310.5,313.7,319.9,454.0,121.9,332.1,63.9,64.1,64.7,68.7,68.9,69.4,59.1,59.4,60.0,92.6,93.5,90.4,52.0,52.4,49.8,40.6,41.0,40.6,63.1,38.3,24.8,27.3,11.6,15.8,6.3,6.4,6.1,6.6,6.7,6.3,5.9,6.0,5.9,6.3,5.9,7.2,5.7,8.7,4.5,1465.2,1470.3,1479.9,782.0,783.9,787.3,683.2,686.4,692.6,68.2,68.4,68.9,73.6,73.8,74.1,62.9,63.2,63.7,668.6,274.6,394.0,2148.4,1061.9,1086.6
